Day,DayT_Mean,DayT_Max,Tmax_7daymean,Site,Type
6/7/2019,5.946916667,7.381,NA,R1Interior,Reference
6/8/2019,6.277625,7.481,NA,R1Interior,Reference
6/9/2019,6.287791667,8.382,8.278285714,R1Interior,Reference
6/10/2019,6.624291667,7.682,7.980285714,R1Interior,Reference
6/11/2019,7.784583333,9.176,7.938,R1Interior,Reference
6/12/2019,8.811541667,10.063,8.263857143,R1Interior,Reference
6/13/2019,9.591833333,10.944,8.729857143,R1Interior,Reference
6/14/2019,9.213708333,10.357,9.155,R1Interior,Reference
6/15/2019,8.912875,9.965,9.509857143,R1Interior,Reference
6/16/2019,9.218583333,10.651,9.834,R1Interior,Reference
6/17/2019,9.406541667,10.651,10.25814286,R1Interior,Reference
6/18/2019,9.462625,10.357,10.42685714,R1Interior,Reference
6/19/2019,7.492708333,8.68,10.22928571,R1Interior,Reference
6/20/2019,6.305833333,6.674,9.619285714,R1Interior,Reference
6/21/2019,7.23925,8.182,9.308571429,R1Interior,Reference
6/22/2019,7.823083333,8.481,9.096571429,R1Interior,Reference
6/23/2019,7.885375,8.68,8.815,R1Interior,Reference
6/24/2019,10.37625,20.519,10.22471429,R1Interior,Reference
6/3/2019,7.981333333,8.779,NA,R2Interior,Reference
6/4/2019,6.61575,7.983,NA,R2Interior,Reference
6/5/2019,6.419916667,6.877,NA,R2Interior,Reference
6/6/2019,5.568916667,6.166,NA,R2Interior,Reference
6/7/2019,4.802958333,5.962,NA,R2Interior,Reference
6/8/2019,4.866708333,6.166,NA,R2Interior,Reference
6/9/2019,5.032916667,6.166,6.871285714,R2Interior,Reference
6/10/2019,5.703333333,6.674,6.570571429,R2Interior,Reference
6/11/2019,6.954041667,8.779,6.684285714,R2Interior,Reference
6/12/2019,8.04,9.669,7.083142857,R2Interior,Reference
6/13/2019,8.773208333,10.063,7.639857143,R2Interior,Reference
6/14/2019,8.209125,9.472,8.141285714,R2Interior,Reference
6/15/2019,7.839625,8.481,8.472,R2Interior,Reference
6/16/2019,7.743,8.68,8.831142857,R2Interior,Reference
6/17/2019,8.645958333,10.455,9.371285714,R2Interior,Reference
6/18/2019,8.736708333,9.866,9.526571429,R2Interior,Reference
6/19/2019,6.736041667,8.082,9.299857143,R2Interior,Reference
6/20/2019,5.38475,5.86,8.699428571,R2Interior,Reference
6/21/2019,5.911166667,6.978,8.343142857,R2Interior,Reference
6/22/2019,6.757291667,7.682,8.229,R2Interior,Reference
6/23/2019,6.740791667,7.682,8.086428571,R2Interior,Reference
6/24/2019,6.326,7.381,7.647285714,R2Interior,Reference
